ID,ISBN:,Автор:,В базе:,В закладки,Возраст,Год:,Издательство:,Код:,Название,Не понравилось,Обложка,Описание,Переводчик:,Переплёт:,Понравилось,Производитель:,Размеры:,Рейтинг,Серия:,Страниц:,Тематика:,Тираж:,Формат:,Цена
3285404,978-5-699-29372-8,Емец Дмитрий Александрович,Э.ТГ (8) Таня Гроттер и ботинки кентавра (нов),0,12+,2008,Эксмо,399496,Таня Гроттер и ботинки кентавра  Емец Дмитрий Александрович,1,/files/1836/17/81/35.jpg," Таня Гроттер, Гробыня, Ванька Валялкин, Гуня Гломов, Ягун и Шурасик попадают в параллельный мир. Леса этого жутковатого мира населены нежитью, а горы и подземелья духами. В нем царствуют четыре стихии: огонь, вода, воздух и земля, которым подчинены все живущие в этом мире маги. Никто не способен использовать магию иной стихии, кроме той, что дает ему силы. Здесь незримо властвует Стихиарий - бесплотное существо, силы которого в десятки раз превосходят силы обычного чародея. Когда-то Стихиарий был перенесен сюда магией Феофила Гроттера. Некогда предок Тани воспользовался помощью Стихиария, но, сочтя назначенную цену чрезмерной, нарушил договор и, не расплатившись с ним, хитростью перенес Стихиария в параллельный мир. Для того чтобы покинуть его и вернуться в собственное измерение, Стихиарию необходимо напоить руны своей чаши кровью Феофила Гроттера, которая бежит теперь в единственных жилах - жилах Тани Гроттер... далее Читать Свернуть ",,твердый,16,,"13,00 см x 20,00 см x 3,20 см", 94.12%,Таня Гроттер,416,Для среднего школьного возраста,5100,84х108/32,
3292173,978-5-699-27717-9,Емец Дмитрий Александрович,Э.ТГ(нов).Таня Гроттер 4.И трон Древнира,0,12+,2008,Эксмо,390712,Таня Гроттер и трон Древнира  Емец Дмитрий Александрович,1,/files/1836/17/38/73.jpg," Давненько в Тибидохсе не было таких неприятностей! Похищены основные источники магии: предметы, принадлежавшие когда-то Древниру. Правда, существует ещё трон древнего мага, энергии которого хватит на тысячелетия. Но беда в том, что никто не знает, где он находится. День ото дня запасы магии в Тибидохсе иссякают, и все ученики отправлены в мир лопухойдов. Таня Гроттер и Баб-Ягун оказываются в семействе Дурневых... Но ничего в магическом мире не может быть важнее драконбола. Все с нетерпением ждут матча комады невидимок со сборной Тибидохса. Интригу накаляет то, что легендарный Гурий Пуппер наконец влюблен. Сотнями летят купидончики с цветами и письмами! Интересно, кому Пуппер их посылает? Без охмуряющей магии тут явно не обошлось... Но Таня совсем не этого хотела!!! далее Читать Свернуть ",,твердый,16,,"13,00 см x 20,00 см x 3,20 см", 94.12%,Таня Гроттер,432,Для среднего школьного возраста,7100,84х108/32,
3294377,978-5-699-21786-1,Емец Дмитрий Александрович,Э.ВМЕ.Сокровища мутантиков,0,12+,2007,Эксмо,338956,Сокровища мутантиков  Емец Дмитрий Александрович,0,/files/1836/14/74/28.jpg," To, что Остров Сломанной Мечты находился очень далеко от Мутатерритории, не могло остановить Рыжую Карлу. Королева карликов должна отыскать сокровища Черного пирата и завладеть Волшебным Мечом, который даст ей власть и силу. Злая королева приказала готовиться к длительной экспедиции. Лобастикам удалось узнать, что реакторные карлики собираются в поход за кладом, и рассказали об этом своим друзьям шерстюшам и кошачьему мутантику Бормоглотику. Посовещавшись, шерстюши и лобастики решили идти за карликами, следить за своими врагами и лишь в конце пути вырваться вперед и перехватить Меч-кладенец из-под носа Рыжей королевы. Разумеется, план был авантюрный и в нем имелось много уязвимых мест, и вскоре друзьям пришлось в этом убедиться... Твердый переплет, бумага офсетная. далее Читать Свернуть ",,твердый,2,,"13,00 см x 20,00 см x 2,50 см", 62.5%,Волшебные миры Дмитрия Емца,352,Для среднего школьного возраста,4000,84х108/32,
3294397,978-5-699-28064-3,Емец Дмитрий Александрович,Э.Мефодий Буслаев-10.Лестница в Эдем,0,12+,2008,Эксмо,392776,Лестница в Эдем  Емец Дмитрий Александрович,1,/files/1836/17/48/72.jpg," Мефодий Буслаев больше не служит мраку. И теперь Лигул вправе передать его меч другому. Он нашёл клинку Древнира нового хозяина. Это щеголь и красавчик из Тартара Гопзий Руриус Третий. Но Меф не желает расставаться с мечом. Есть ли способ его сохранить? Арея уверен, что есть. Сразиться на дуэли с Гопзием. По слухам тот - четвёртый клинок мрака. У Мефа всего месяц на подготовку. Но Буслаев ещё не знает, какую ловушку готовят ему Лигул и Гопзий. Ведь бывший меч Древнира – артефакт переменной силы. Бывают дни, когда силы меча иссякают. В момент дуэли сил в клинке Мефа будет меньше, чем в любой музейной железке!.. далее Читать Свернуть ",,твердый,64,,"13,00 см x 20,00 см x 3,10 см", 98.46%,Мефодий Буслаев,416,Для среднего школьного возраста,90000,84х108/32,
3294613,978-5-373-03479-1,Хантер Эрин,ОЛМА Странники Дымная гора,0,12+,2010,Олма-пресс,528967,Дымная гора  Хантер Эрин ,1,/files/1377/24/76/89.jpg," Странники узнают, что есть на свете такое место, где разные медведи живут в мире и согласии, где много добычи и где не бывает Плосколицых… Белый медвежонок Таккик, его сестра Каллик, черный медвежонок-барибал Луса, медвежонок-гризли Токло и волшебный медвежонок Уджурак решают, что это и есть то, что они ищут. Но путь к медвежьему раю таит множество бед… Дымная Гора становится для друзей самым большим испытанием. Каждый из них вынужден продолжить свой путь в одиночку. Постепенно герои понимают, что это не конец пути, что все только начинается... далее Читать Свернуть ",,твердый,14,,"13,00 см x 20,00 см x 1,90 см", 93.33%,Странники,320,Для среднего школьного возраста,6000,84х108/32,
3302316,978-5-699-61087-7,Емец Дмитрий Александрович,Э.ТГр. 1.Таня Гроттер и магич.контрабас,0,12+,2013,Эксмо,928443,Таня Гроттер и магический контрабас  Емец Дмитрий Александрович,6,/files/1836/36/21/32.jpg,,,твердый,96,,"13,00 см x 20,00 см x 3,20 см", 94.12%,Таня Гроттер,416,Для среднего школьного возраста,3000,206.00mm x 135.00mm x 32.00mm,
330661,978-5-699-20169-3,Емец Дмитрий Александрович,Э.Мефодий Буслаев-7.Лед и пламя Тартара,0,12+,2013,Эксмо,323903,Мефодий Буслаев. Кн.7. Лед и пламя Тартара  Емец Дмитрий Александрович,7,/files/1836/13/79/28.jpg," Нижний Тартар... Невыносимый жар там соседствует с адским холодом, и муки томящихся там бесконечны. Туда издавна ссылают тех темных стражей, кто слишком опасен, неконтролируем и жесток даже для мрака. Спеша расправиться с Мефом и Ареем, Лигул тайно выпускает из Нижнего Тартара самых опасных узников. Тартарианцы бессмертны. Их тела неуязвимы для любого темного оружия. Только светлая магия способна отогнать их на время, однако Лигул предусмотрел и это. Застигнутая врасплох Даф теряет связь со своей флейтой. Отныне ее маголодии не действуют. За Эссиорхом охотятся убийцы. А юная валькирия поставлена перед выбором: завладеть дархом Арея или лишиться своего копья... далее Читать Свернуть ",,твердый,359,,"13,00 см x 20,00 см x 2,60 см", 98.09%,Мефодий Буслаев,416,Для среднего школьного возраста,90100,205.00mm x 135.00mm x 25.00mm,
331020,978-5-699-18592-4,Емец Дмитрий Александрович,Э.Мефодий Буслаев-6.Тайная магия Депресняка,0,12+,2010,Эксмо,296750,Мефодий Буслаев. Кн.6. Тайная магия Депресняка  Емец Дмитрий Александрович,5,/files/1836/12/63/64.jpg," Двое любят друг друга – кто вправе им мешать? Страж света Дафна встречается с Мефодием Буслаевым, воплощением мрака… Свет не может допустить этого. Ведь когда черная краска смешивается с белой, получается серый цвет. Вежливая терпимость к злу и равнодушие – вот, что теперь ждет весь мир. Свет в панике. Нельзя рисковать вечностью тысяч эйдосов ради одной любви. Мефодия и Даф нужно разлучить, иначе мироздание окажется под угрозой. Хранитель Дафны Эссиорх получил приказ похитить ее и доставить в Эдем. И помочь ему в этом должна валькирия-одиночка Ирка. Но у главы Канцелярии мрака Лигула свои планы на Даф… далее Читать Свернуть ",,твердый,316,,"13,00 см x 20,00 см x 2,70 см", 98.44%,Мефодий Буслаев,416,Для среднего школьного возраста,85000,84х108/32,
331077,978-5-699-16154-6,Емец Дмитрий Александрович,Э.Мефодий Буслаев-5.Месть валькирий,0,12+,2013,Эксмо,276705,Мефодий Буслаев. Кн.5. Месть валькирий  Емец Дмитрий Александрович,10,/files/1377/11/28/16.jpg," ""Валькирия не может полюбить. Валькирия обязана принять вызов кем бы он не был брошен. Никто из встречавших валькирию прежде никогда не узнает ее. Иначе тайна защитит себя сама, и всякий услышавший ее умрет. Валькирию-ослушницу ждет суд Двенадцати"". Таков непреложный закон. Убив в поединке полуночную ведьму, Ирка бросает вызов мраку. Уничтожить валькирию-одиночку должен именно Мефодий Буслаев. Копье валькирии и изменивший свету меч Древнира встретятся в бою, из которого выйдет живым только один. Ирка понимает, что Мефодий никогда не узнает ее в новом обличье. И, как бы хорошо он не владел мечом, он уязвим. Ведь для победы ей достаточно просто назвать свое имя, и тогда свершится старое проклятие… далее Читать Свернуть ",,твердый,394,,"13,00 см x 20,00 см x 2,70 см", 97.52%,Мефодий Буслаев,416,Для среднего школьного возраста,80000,205.00mm x 135.00mm x 30.00mm,
3311917,978-5-699-30722-7,Емец Дмитрий Александрович,Э.Мефодий Буслаев-11.Карта Хаоса(без диска),0,12+,2008,Эксмо,418720,Мефодий Буслаев.Карта Хаоса,0,/files/1836/18/99/42.jpg," Хаос не имеет ни границ, ни очертаний. Он огромен и вечно меняется. Там, где вчера была дорога, сегодня можно ее не искать. Именно туда Генеральный страж света Троил послал специальный отряд златокрылых, чтобы освободить незаконно захваченные эйдосы. Но светлые не смогут вернуться без карты Хаоса. Только она способна указать дорогу назад. А для этого Эссиорху, Дафне и Корнелию нужно найти девушку, которая случайно стала обладательницей этого темного артефакта. Правда, ее ищут не только они. Новая хранительница карты Хаоса - дочь Арея... далее Читать Свернуть ",,твердый,72,,"13,00 см x 20,00 см x 3,10 см", 100%,Мефодий Буслаев,416,Для среднего школьного возраста,40000,84х108/32,
331239,978-5-699-14552-2,Емец Дмитрий Александрович,Э.Мефодий Буслаев-4.Билет на Лысую Гору,0,12+,2013,Эксмо,269060,Мефодий Буслаев. Кн.4. Билет на Лысую Гору  Емец Дмитрий Александрович,9,/files/1836/10/79/54.jpg," Аида Плахова Мамзелькина, трудолюбивая старушка с косой в руках, пошла на серьезное должностное преступление, чтобы помочь Мефодию и его друзьям бежать от гнева главы Канцелярии мрака карлика Лигула. Мир лопухоидов велик, но в нем не спрячешься. Эдем и Тартар тоже отпадают: Эдема ученики мрака не заслужили, в Тартар же особенно торопиться не стоит! Остается только одно место, где Мефодия и его компанию не сразу догадаются искать... Лысая Гора. А еще Мамзелькина посоветовала ребятам узнать тайну Лигула. Говорят, будто в молодости горбатый карлик провел несколько лет на Лысой Горе и очень невзлюбил это экстремальное местечко. Лигул же тем временем ищет Камень Пути, который даст ему упорство, силу, волю к победе в достижении главной цели – стать повелителем мрака… далее Читать Свернуть ",,твердый,329,,"13,00 см x 20,00 см x 2,90 см", 97.34%,Мефодий Буслаев,416,Для среднего школьного возраста,85000,205.00mm x 135.00mm x 30.00mm,
3312552,978-5-699-65403-1,Емец Дмитрий Александрович,Э.Емец(нов.пр).Нов.год с др.Пыхалкой(кн.с пазлами),0,6+,2013,Эксмо,1009254,Новый Год с Дракончиком Пыхалкой (книга с пазлами)  Емец Дмитрий Александрович,0,/files/1836/23/59/19/9.jpg," ВЫ ДЕРЖИТЕ В РУКАХ НЕОБЫЧНУЮ КНИЖКУ! ВЕДЬ ВНУТРИ - ВЕСЕЛАЯ НОВОГОДНДЯ ИСТОРИЯ ПРО ДРАКОНЧИКА ПЫХАЛ КУ И ЕГО ДРУЗЕЙ И 4 ПАЗЛА, КОТОРЫЕ МАЛЫШ СМОЖЕТ СОВРАТЬ САМОСТОЯТЕЛЬНО. ПАЗЛЫ РАЗВИВАЮТ МЕЛКУЮ МОТОРИКУ, ВНИМАНИЕ, ЛОГИЧЕСКОЕ МЫШЛЕНИЕ И ПАМЯТЬ. ПОД КАЖДЫМ ПАЗЛОМ НАХОДИТСЯ КАРТИНКД-ОБРАЗЕЦ, СБОКУ - УДОБНАЯ ВЫЕМКА ДЛЯ ПАЛЬЧИКА. далее Читать Свернуть ",,твердый,1,,"26,00 см x 20,50 см x 1,60 см", 57.14%,,8,Для младшего школьного возраста,5000,262.00mm x 200.00mm x 16.00mm,
331289,978-5-699-10198-6,Емец Дмитрий Александрович,Э.Мефодий Буслаев.Свиток желаний,0,12+,2013,Эксмо,198701,Мефодий Буслаев. Кн.2. Свиток желаний  Емец Дмитрий Александрович,2,/files/1377/81/99/1.jpg," В стародавние времена маг-алхимик Бругус изготовил свиток желаний, на который наложил заклинание усиления. Свиток он спрятал в одну из двух шкатулок, защищенных магией Света, и отправил их странствовать в лопухоидный мир. За прошедшие века свиток приобрел чудовищную магическую силу. Свиток желаний - артефакт нейтральный. Он может служить как Тьме, так и Свету. Ищут его златокрылые, ищут и стражи Мрака. Если Тартар обнаружит шкатулку со свитком первым, произойдет катастрофа... А еще мудрецы из Прозрачных Сфер утверждают, что история свитка напрямую будет связана с Дафной, стражем Света, и Мефодием Буслаевым - будущим повелителем Тьмы... далее Читать Свернуть ",,твердый,160,,"13,00 см x 20,00 см x 2,50 см", 98.77%,Мефодий Буслаев,416,Для среднего школьного возраста,,205.00mm x 135.00mm x 30.00mm,
3313720,978-5-699-69742-7,Емец Дмитрий Александрович,Э.ВесКан.Юный граф Дракула,0,6+,2014,Эксмо,1012279,Юный граф Дракула ,0,/files/1836/23/60/36/6.jpg,,,твердый,6,,"21,50 см x 14,50 см x 2,20 см", 75%,,240,Для среднего школьного возраста,5000,60х90/16,
3315143,978-5-699-33535-0,Емец Дмитрий Александрович,Э.Емец(БКФП).Мутантики.Королева мутантиков,0,12+,2009,Эксмо,440567,Мутантики. Королева мутантиков,0,/files/1836/20/18/58.jpg," «Мутантики» Близилась Ночь Определения Камня, когда луна отдает ему свою силу и магию. Завтра решится: будет камень служить злу или добру, и тогда определится баланс сил в пользу Хаоса или в пользу Света... Последние годы преимущество было на стороне Хаоса, поэтому злобные реакторные карлики процветали, а народам лобастиков и шерстюш приходилось туго. Но если завтра в полнолуние Магический Кристалл будет в добрых руках, то все изменится. Рыжая Карла, королева карликов, должна вернуть себе камень, похищенный у нее лобастиками и шерстюшами, иначе трон ее рухнет, а вместе с ним придет конец и могуществу карликов. Она не допустит, чтобы Магический Кристалл, украденный из музея ее бабкой-колдуньей в первые же часы Большого Взрыва, изменившего жизнь на планете, спустя много лет стал нести добро всем мутантикам... «Королева мутантиков» Нелегко жилось миролюбивым шерстюшам и лобастикам в соседстве со злобными и тупыми реакторными карликами. Рыжая Карла, королева карликов, вознамерилась поработить всю Страну Мутантиков. Скоро состоится новый завоевательный поход. Но сначала Карла отомстит Пупырю и его семейке — своим злейшим врагам, не раз срывавшим ее коварные планы. И рыжая королева похищает Трюшу, единственную дочь Пупыря и Мумуни. Бедная девушка билась и кричала в когтях у Черного Герцога, гигантской летучей мыши. Карла верно рассчитала свою месть. Для шерстюш, которые живут дружными семьями, нет ничего страшнее разлуки. Горе охватило родителей и влюбленного в девушку Бормоглотика. Что с несчастной Трюшей? Жива ли она или хищник растерзал ее? Как бы там ни было, Бормоглотик решил искать свою любимую до конца... далее Читать Свернуть ",,твердый,1,,"21,50 см x 14,50 см x 3,00 см", 57.14%,Большая книга фантастических приключений,416,Для среднего школьного возраста,5000,60х90/16,
3315869,978-5-699-40651-7,Емец Дмитрий Александрович,Э.ТГрот.Таня Гроттер и локон Афродиты,0,12+,2010,Эксмо,507576,Таня Гроттер и локон Афродиты ,1,/files/1377/23/98/88.jpg," Много столетий странствует по свету локон золотых волос богини любви Афродиты. Давным-давно подарила она его своему возлюбленному, и непонятно, чего больше этот артефакт принес в мир - радости или скорби... И вот локон Афродиты загадочным образом попадает к Тане Гроттер. А у нее жизнь и так бурлит событиями. Подходит к концу учеба в Тибидохсе. Впереди выпускные экзамены! Затем предстоит полет в Магфорд, где в составе команды невидимок она примет участие в матче со сборной мира. Однако время, отведенное артефактом, неумолимо истекает. Чтобы локон Афродиты соединил судьбы, нужно произнести свое имя на один конец пряди и имя избранника - на другой. Если не назвать имен, Таня никогда не узнает любви. Кого же выбрать? Ваньку Валялкина? Гурия Пуппера? Глеба Бейбарсова? Но самое главное - кто и зачем прислал ей этот коварный артефакт?.. далее Читать Свернуть ",,твердый,14,,"13,00 см x 20,00 см", 93.33%,Дмитрий Емец,432,Для среднего школьного возраста,4000,84х108/32,
3319370,978-5-373-03068-7,Хантер Эрин,ОЛМА Странники Первые испытания,0,6+,2011,Олма-пресс,826871,Первые испытания  Хантер Эрин ,0,/files/nocard.jpg,,,,5,,"13,20 см x 20,90 см", 72.73%,Странники,,Для младшего школьного возраста,,,
334427,978-5-699-23298-7,Емец Дмитрий Александрович,Э.Мефодий Буслаев-8.Первый эйдос,0,12+,2010,Эксмо,351244,Мефодий Буслаев,7,/files/1836/15/38/76.jpg," Когда всемогущий глава Канцелярии мрака не может раздавить шестнадцатилетнего мальчишку, это, согласитесь, ужасно раздражает... Чтобы избавиться от конкурента, Лигул устраивает Мефу поединок с чудовищем из недр Тартара. Мефодий только чудом остается в живых, а великодушный горбун награждает его дархом. Пустых же дархов, как известно, не бывает. И вот мерзкая живая сосулька по каплям высасывает из Мефа жизнь. Но это был не единственный сюрприз от Лигула. Оказывается, у него есть воспитанница, ровесница Мефа. Все, кто знаком с ней, знают, что бывает, когда она смеется или плачет. Любить ее тоже крайне нежелательно, ведь Лигул намеревается сделать Прасковью новой наследницей мрака... далее Читать Свернуть ",,твердый,358,,"13,00 см x 20,00 см x 2,50 см", 98.08%,Мефодий Буслаев,416,Для среднего школьного возраста,85100,205.00mm x 130.00mm x 25.00mm,
